Brand,Model,Full_Name,Category,Fuel_Type,Price_INR,Engine_CC,Power_BHP,Torque_NM,Mileage_KMPL,Top_Speed_KMPH,Gears,Weight_KG,ABS_Type,Cooling_System,Cylinder_Type,Color,Launch_Year,State,City,Rating,No_of_Reviews,Is_Price_Outlier,Price_Category,Power_to_Weight,Torque_to_Weight
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,72300,97,7.78,8.1,79.9,96.0,4,111,CBS,Air Cooled,Single,Black,2022,West Bengal,Durgapur,4.0,3741,False,Budget (<80K),0.07,0.073
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,64100,97,8.27,7.87,87.8,91.0,4,107,CBS,Air Cooled,Single,Pearl White,2024,West Bengal,Durgapur,4.3,1277,False,Budget (<80K),0.077,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,61000,97,8.45,7.9,76.1,91.0,4,107,CBS,Air Cooled,Single,Black,2022,Uttar Pradesh,Lucknow,4.8,6838,False,Budget (<80K),0.079,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,55900,97,8.5,7.87,80.8,91.0,4,110,CBS,Air Cooled,Single,Yellow,2021,Uttar Pradesh,Lucknow,3.4,3918,False,Budget (<80K),0.077,0.072
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,64600,97,8.38,7.98,80.6,87.0,4,108,CBS,Air Cooled,Single,Racing Red,2022,Punjab,Ludhiana,3.9,5527,False,Budget (<80K),0.078,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,57200,97,8.11,8.09,73.1,87.0,4,107,CBS,Air Cooled,Single,Matte Black,2024,Gujarat,Ahmedabad,3.6,1829,False,Budget (<80K),0.076,0.076
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,63600,97,8.33,8.1,86.6,91.0,4,110,CBS,Air Cooled,Single,Blue,2022,Maharashtra,Aurangabad,4.4,1780,False,Budget (<80K),0.076,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,57400,97,8.26,7.97,86.3,87.0,4,107,CBS,Air Cooled,Single,Blue,2020,Uttar Pradesh,Varanasi,3.4,3556,False,Budget (<80K),0.077,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,55600,97,8.3,7.98,76.7,88.0,4,107,CBS,Air Cooled,Single,Black,2021,Madhya Pradesh,Gwalior,3.5,4418,False,Budget (<80K),0.078,0.075
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,59400,97,8.15,8.11,76.0,90.0,4,110,CBS,Air Cooled,Single,Red,2024,Punjab,Chandigarh,4.7,7963,False,Budget (<80K),0.074,0.074
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,59800,97,8.22,8.12,79.6,90.0,4,111,CBS,Air Cooled,Single,White,2023,Rajasthan,Jaipur,3.2,3223,False,Budget (<80K),0.074,0.073
Hero,HF Deluxe,Hero HF Deluxe,Commuter Bike,Petrol,61600,97,8.35,8.03,84.4,87.0,4,107,CBS,Air Cooled,Single,Blue,2022,Uttar Pradesh,Kanpur,3.6,504,False,Budget (<80K),0.078,0.075
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,75300,113,8.91,9.63,68.4,90.0,4,114,CBS,Air Cooled,Single,Red,2024,Punjab,Ludhiana,3.3,1547,False,Budget (<80K),0.078,0.084
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,78600,113,9.07,9.88,64.0,89.0,4,115,CBS,Air Cooled,Single,Matte Black,2024,Kerala,Thiruvananthapuram,3.3,696,False,Budget (<80K),0.079,0.086
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,76700,113,9.01,9.75,67.0,94.0,4,114,CBS,Air Cooled,Single,Grey,2023,Gujarat,Surat,3.4,5312,False,Budget (<80K),0.079,0.086
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,75200,113,8.94,9.77,58.1,88.0,4,116,CBS,Air Cooled,Single,Black,2024,Kerala,Kochi,3.6,2197,False,Budget (<80K),0.077,0.084
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,74000,113,9.17,9.6,67.8,89.0,4,114,CBS,Air Cooled,Single,Racing Red,2022,Uttar Pradesh,Meerut,4.3,6636,False,Budget (<80K),0.08,0.084
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,78600,113,9.0,9.89,66.5,88.0,4,116,CBS,Air Cooled,Single,Black,2020,Karnataka,Hubballi,4.5,1298,False,Budget (<80K),0.078,0.085
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,75500,113,8.88,9.97,56.9,89.0,4,115,CBS,Air Cooled,Single,Black,2023,Delhi,New Delhi,4.7,386,False,Budget (<80K),0.077,0.087
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,77200,113,9.28,10.04,64.3,93.0,4,116,CBS,Air Cooled,Single,Yellow,2020,Punjab,Jalandhar,3.4,7766,False,Budget (<80K),0.08,0.087
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,76100,113,9.3,10.07,57.7,89.0,4,115,CBS,Air Cooled,Single,White,2020,Karnataka,Mangaluru,3.8,7389,False,Budget (<80K),0.081,0.088
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,76800,113,9.32,9.96,69.2,88.0,4,115,CBS,Air Cooled,Single,Orange,2024,West Bengal,Kolkata,4.8,3354,False,Budget (<80K),0.081,0.087
Hero,Passion Pro,Hero Passion Pro,Commuter Bike,Petrol,78800,113,9.23,9.8,65.9,92.0,4,115,CBS,Air Cooled,Single,Red,2021,Karnataka,Mangaluru,4.5,2746,False,Budget (<80K),0.08,0.085
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,80300,125,10.49,10.77,57.0,94.0,5,125,CBS,Air Cooled,Single,Green,2020,Madhya Pradesh,Bhopal,4.7,1847,False,Mid-Range (80K-1.5L),0.084,0.086
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,80800,125,10.9,10.43,60.5,95.0,5,128,CBS,Air Cooled,Single,Green,2022,West Bengal,Howrah,3.7,593,False,Mid-Range (80K-1.5L),0.085,0.081
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,81600,125,10.4,10.6,56.9,98.0,5,126,CBS,Air Cooled,Single,Grey,2021,Telangana,Hyderabad,4.2,2199,False,Mid-Range (80K-1.5L),0.083,0.084
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,82500,125,10.76,10.28,63.9,96.0,5,125,CBS,Air Cooled,Single,Green,2024,Punjab,Chandigarh,3.5,388,False,Mid-Range (80K-1.5L),0.086,0.082
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,81900,125,10.76,10.44,56.5,95.0,5,126,CBS,Air Cooled,Single,Matte Black,2022,Maharashtra,Nagpur,4.4,1045,False,Mid-Range (80K-1.5L),0.085,0.083
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,82200,125,10.58,10.68,54.9,96.0,5,126,CBS,Air Cooled,Single,White,2021,Delhi,Ghaziabad,4.0,7728,False,Mid-Range (80K-1.5L),0.084,0.085
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,82200,125,10.7,10.45,58.1,97.0,5,125,CBS,Air Cooled,Single,Grey,2021,Telangana,Karimnagar,4.0,4776,False,Mid-Range (80K-1.5L),0.086,0.084
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,83100,125,10.72,10.46,62.6,98.0,5,125,CBS,Air Cooled,Single,Pearl White,2020,Madhya Pradesh,Indore,3.7,5463,False,Mid-Range (80K-1.5L),0.086,0.084
Hero,Glamour,Hero Glamour,Commuter Bike,Petrol,84400,125,10.71,10.69,56.9,97.0,5,128,CBS,Air Cooled,Single,White,2020,Tamil Nadu,Coimbatore,3.3,3917,False,Mid-Range (80K-1.5L),0.084,0.084
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,82300,124,10.28,10.98,67.2,92.0,5,127,CBS,Air Cooled,Single,Green,2021,Rajasthan,Kota,3.5,5658,False,Mid-Range (80K-1.5L),0.081,0.086
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,79300,124,10.72,10.82,67.6,97.0,5,128,CBS,Air Cooled,Single,Silver,2020,Madhya Pradesh,Ujjain,4.2,7540,False,Budget (<80K),0.084,0.085
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,83900,124,10.54,11.03,64.3,93.0,5,127,CBS,Air Cooled,Single,Silver,2024,Kerala,Kozhikode,4.7,7332,False,Mid-Range (80K-1.5L),0.083,0.087
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,80700,124,10.51,10.96,60.2,94.0,5,126,CBS,Air Cooled,Single,Yellow,2023,Tamil Nadu,Madurai,4.3,2274,False,Mid-Range (80K-1.5L),0.083,0.087
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,83400,124,10.65,10.61,62.5,96.0,5,127,CBS,Air Cooled,Single,White,2021,Maharashtra,Pune,3.9,1276,False,Mid-Range (80K-1.5L),0.084,0.084
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,80500,124,10.73,10.99,62.1,92.0,5,126,CBS,Air Cooled,Single,Green,2024,Tamil Nadu,Salem,4.9,185,False,Mid-Range (80K-1.5L),0.085,0.087
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,79800,124,10.39,10.69,62.9,92.0,5,127,CBS,Air Cooled,Single,Yellow,2024,Rajasthan,Kota,4.6,7379,False,Budget (<80K),0.082,0.084
Honda,CB Shine,Honda CB Shine,Commuter Bike,Petrol,80000,124,10.34,10.91,57.6,95.0,5,128,CBS,Air Cooled,Single,Racing Red,2021,West Bengal,Siliguri,4.7,7557,False,Mid-Range (80K-1.5L),0.081,0.085
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78000,124,10.05,10.79,61.4,98.0,5,120,CBS,Air Cooled,Single,White,2023,Maharashtra,Nashik,3.5,2156,False,Budget (<80K),0.084,0.09
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,75700,124,9.88,11.19,60.1,92.0,5,117,CBS,Air Cooled,Single,Black,2023,Rajasthan,Udaipur,3.2,4443,False,Budget (<80K),0.084,0.096
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78500,124,10.1,10.73,69.5,94.0,5,119,CBS,Air Cooled,Single,Red,2024,Tamil Nadu,Coimbatore,3.5,1059,False,Budget (<80K),0.085,0.09
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78600,124,10.35,10.73,57.5,94.0,5,121,CBS,Air Cooled,Single,Matte Black,2020,Karnataka,Belagavi,4.6,1366,False,Budget (<80K),0.086,0.089
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78100,124,10.28,10.8,66.3,94.0,5,121,CBS,Air Cooled,Single,Racing Red,2021,Rajasthan,Kota,3.3,5682,False,Budget (<80K),0.085,0.089
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78800,124,9.89,11.03,57.4,95.0,5,120,CBS,Air Cooled,Single,Orange,2024,Kerala,Kochi,4.0,3060,False,Budget (<80K),0.082,0.092
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,74600,124,10.12,11.03,65.2,96.0,5,120,CBS,Air Cooled,Single,Racing Red,2021,Gujarat,Rajkot,4.0,6036,False,Budget (<80K),0.084,0.092
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,76800,124,10.33,10.82,53.05,98.0,5,120,CBS,Air Cooled,Single,Grey,2022,Madhya Pradesh,Ujjain,4.7,6830,False,Budget (<80K),0.086,0.09
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,77400,124,9.95,10.79,67.6,94.0,5,119,CBS,Air Cooled,Single,Orange,2020,West Bengal,Siliguri,4.1,2687,False,Budget (<80K),0.084,0.091
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,79300,124,9.9,11.07,63.6,98.0,5,118,CBS,Air Cooled,Single,Yellow,2020,Madhya Pradesh,Gwalior,4.1,1590,False,Budget (<80K),0.084,0.094
Honda,CB Shine SP,Honda CB Shine SP,Commuter Bike,Petrol,78100,124,10.06,10.8,65.8,94.0,5,120,CBS,Air Cooled,Single,Silver,2020,West Bengal,Siliguri,3.4,1840,False,Budget (<80K),0.084,0.09
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,61800,115,8.47,9.63,81.9,94.0,4,111,CBS,Air Cooled,Single,Orange,2022,Rajasthan,Ajmer,4.5,2244,False,Budget (<80K),0.076,0.087
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,63700,115,8.65,9.99,78.8,94.0,4,111,CBS,Air Cooled,Single,Blue,2021,Madhya Pradesh,Indore,4.5,2290,False,Budget (<80K),0.078,0.09
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,64500,115,8.57,9.65,86.0,96.0,4,113,CBS,Air Cooled,Single,Orange,2021,Delhi,Noida,3.7,5825,False,Budget (<80K),0.076,0.085
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,63300,115,8.55,9.68,85.8,94.0,4,114,CBS,Air Cooled,Single,Black,2020,Karnataka,Mangaluru,4.2,3870,False,Budget (<80K),0.075,0.085
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,58000,115,8.37,9.59,79.4,94.0,4,111,CBS,Air Cooled,Single,Silver,2020,Maharashtra,Nashik,4.2,5648,False,Budget (<80K),0.075,0.086
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,65900,115,8.44,9.77,77.6,95.0,4,113,CBS,Air Cooled,Single,Green,2024,Maharashtra,Aurangabad,4.3,5091,False,Budget (<80K),0.075,0.086
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,64700,115,8.66,9.98,73.7,93.0,4,113,CBS,Air Cooled,Single,Matte Black,2024,Rajasthan,Udaipur,3.3,7890,False,Budget (<80K),0.077,0.088
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,62900,115,8.52,9.85,77.9,92.0,4,112,CBS,Air Cooled,Single,White,2024,Karnataka,Mysuru,3.3,46,False,Budget (<80K),0.076,0.088
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,59600,115,8.68,9.8,83.3,93.0,4,114,CBS,Air Cooled,Single,Black,2021,Delhi,Faridabad,,6478,False,Budget (<80K),0.076,0.086
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,58000,115,8.68,9.81,83.6,94.0,4,114,CBS,Air Cooled,Single,Grey,2021,Tamil Nadu,Coimbatore,3.3,1384,False,Budget (<80K),0.076,0.086
Bajaj,Platina 110,Bajaj Platina 110,Commuter Bike,Petrol,58100,115,8.57,9.73,35.650000000000006,95.0,4,113,CBS,Air Cooled,Single,Racing Red,2023,Madhya Pradesh,Gwalior,4.9,4124,False,Budget (<80K),0.076,0.086
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,56800,115,8.77,9.85,75.6,92.0,4,111,CBS,Air Cooled,Single,Pearl White,2024,Maharashtra,Pune,4.3,194,False,Budget (<80K),0.079,0.089
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,58300,115,8.61,9.76,72.8,94.0,4,113,CBS,Air Cooled,Single,Grey,2021,West Bengal,Siliguri,5.0,3595,False,Budget (<80K),0.076,0.086
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,57300,115,8.47,9.98,84.5,96.0,4,110,CBS,Air Cooled,Single,White,2022,West Bengal,Kolkata,3.9,4083,False,Budget (<80K),0.077,0.091
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,58200,115,8.71,9.92,71.3,98.0,4,114,CBS,Air Cooled,Single,Orange,2020,Gujarat,Vadodara,4.9,3336,False,Budget (<80K),0.076,0.087
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,58200,115,8.61,9.89,74.6,96.0,4,111,CBS,Air Cooled,Single,Yellow,2022,Telangana,Warangal,4.3,4108,False,Budget (<80K),0.078,0.089
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,61500,115,8.69,9.86,76.3,92.0,4,114,CBS,Air Cooled,Single,Black,2020,Uttar Pradesh,Varanasi,5.0,5012,False,Budget (<80K),0.076,0.086
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,57900,115,8.56,9.87,79.5,94.0,4,113,CBS,Air Cooled,Single,Silver,2020,Tamil Nadu,Chennai,,1286,False,Budget (<80K),0.076,0.087
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,60800,115,8.74,9.76,85.5,98.0,4,110,CBS,Air Cooled,Single,Silver,2024,Uttar Pradesh,Kanpur,3.5,1586,False,Budget (<80K),0.079,0.089
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,56900,115,8.65,9.93,80.7,97.0,4,113,CBS,Air Cooled,Single,Yellow,2022,Rajasthan,Udaipur,4.7,2342,False,Budget (<80K),0.077,0.088
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,61100,115,8.58,9.74,76.5,93.0,4,111,CBS,Air Cooled,Single,Silver,2022,Uttar Pradesh,Meerut,3.8,6274,False,Budget (<80K),0.077,0.088
Bajaj,CT 110X,Bajaj CT 110X,Commuter Bike,Petrol,59000,115,8.73,9.7,87.3,98.0,4,111,CBS,Air Cooled,Single,Red,2022,Tamil Nadu,Salem,4.5,5802,False,Budget (<80K),0.079,0.087
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,71800,109,8.5,8.48,74.3,92.0,4,115,CBS,Air Cooled,Single,Matte Black,2022,Karnataka,Belagavi,4.8,7186,False,Budget (<80K),0.074,0.074
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,68500,109,8.29,8.74,70.7,98.0,4,116,CBS,Air Cooled,Single,Black,2023,West Bengal,Howrah,4.6,2196,False,Budget (<80K),0.071,0.075
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,71100,109,8.41,8.54,71.2,94.0,4,115,CBS,Air Cooled,Single,Orange,2023,Punjab,Jalandhar,4.8,319,False,Budget (<80K),0.073,0.074
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,70500,109,8.27,8.45,66.1,92.0,4,116,CBS,Air Cooled,Single,Pearl White,2020,Rajasthan,Jaipur,4.0,5710,False,Budget (<80K),0.071,0.073
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,68200,109,8.48,8.51,62.7,98.0,4,117,CBS,Air Cooled,Single,Blue,2024,Rajasthan,Jodhpur,3.9,5610,False,Budget (<80K),0.072,0.073
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,69700,109,8.25,8.55,61.7,98.0,4,117,CBS,Air Cooled,Single,Matte Black,2021,Tamil Nadu,Salem,3.6,5250,False,Budget (<80K),0.071,0.073
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,71400,109,8.56,8.57,75.1,97.0,4,116,CBS,Air Cooled,Single,White,2020,West Bengal,Asansol,4.0,2855,False,Budget (<80K),0.074,0.074
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,68700,109,8.39,8.69,75.5,94.0,4,114,CBS,Air Cooled,Single,Green,2023,Delhi,Noida,3.4,3149,False,Budget (<80K),0.074,0.076
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,71900,109,8.47,8.86,74.3,97.0,4,117,CBS,Air Cooled,Single,Grey,2020,West Bengal,Siliguri,4.2,5643,False,Budget (<80K),0.072,0.076
Tvs,Radeon,TVS Radeon,Commuter Bike,Petrol,71000,109,8.41,8.73,71.7,97.0,4,115,CBS,Air Cooled,Single,Matte Black,2022,Delhi,Noida,3.6,1582,False,Budget (<80K),0.073,0.076
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,73600,109,8.2,8.48,61.0,97.0,4,116,CBS,Air Cooled,Single,Grey,2023,West Bengal,Kolkata,3.3,3013,False,Budget (<80K),0.071,0.073
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,74100,109,8.24,8.55,67.9,95.0,4,115,CBS,Air Cooled,Single,Orange,2024,Karnataka,Belagavi,4.1,2257,False,Budget (<80K),0.072,0.074
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,77500,109,8.0,8.73,66.0,95.0,4,117,CBS,Air Cooled,Single,Silver,2020,Gujarat,Ahmedabad,3.5,7942,False,Budget (<80K),0.068,0.075
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,75200,109,8.18,8.73,64.8,98.0,4,115,CBS,Air Cooled,Single,Grey,2024,Rajasthan,Jaipur,3.4,3044,False,Budget (<80K),0.071,0.076
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,73700,109,8.04,8.7,50.8,97.0,4,116,CBS,Air Cooled,Single,Red,2024,Tamil Nadu,Salem,4.8,4624,False,Budget (<80K),0.069,0.075
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,78500,109,8.03,8.65,58.5,96.0,4,114,CBS,Air Cooled,Single,Black,2021,Delhi,Faridabad,3.3,329,False,Budget (<80K),0.07,0.076
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,75300,109,8.27,8.72,50.8,96.0,4,116,CBS,Air Cooled,Single,Green,2024,Gujarat,Gandhinagar,4.5,1290,False,Budget (<80K),0.071,0.075
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,78600,109,8.29,8.81,58.5,97.0,4,115,CBS,Air Cooled,Single,Racing Red,2022,Delhi,New Delhi,3.6,3667,False,Budget (<80K),0.072,0.077
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,76300,109,7.96,8.81,63.1,97.0,4,114,CBS,Air Cooled,Single,Red,2023,West Bengal,Durgapur,3.7,7956,False,Budget (<80K),0.07,0.077
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,76900,109,8.23,8.53,68.0,96.0,4,114,CBS,Air Cooled,Single,Red,2022,Kerala,Kochi,3.6,1056,False,Budget (<80K),0.072,0.075
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,76500,109,8.31,8.87,64.2,98.0,4,114,CBS,Air Cooled,Single,White,2024,Tamil Nadu,Madurai,3.2,7057,False,Budget (<80K),0.073,0.078
Tvs,Star City Plus,TVS Star City Plus,Commuter Bike,Petrol,73700,109,8.15,8.45,60.6,94.0,4,116,CBS,Air Cooled,Single,Red,2022,Telangana,Warangal,,1974,False,Budget (<80K),0.07,0.073
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,67700,125,8.24,10.11,60.2,92.0,5,115,CBS,Air Cooled,Single,Silver,2022,Maharashtra,Nashik,4.1,918,False,Budget (<80K),0.072,0.088
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,68800,125,8.34,10.24,63.7,87.0,5,111,CBS,Air Cooled,Single,Red,2023,West Bengal,Kolkata,4.7,3517,False,Budget (<80K),0.075,0.092
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,68900,125,8.28,10.16,64.7,91.0,5,113,CBS,Air Cooled,Single,White,2022,Karnataka,Bengaluru,4.3,4820,False,Budget (<80K),0.073,0.09
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,69700,125,8.42,10.27,63.2,90.0,5,114,CBS,Air Cooled,Single,Black,2020,Kerala,Thrissur,4.7,5357,False,Budget (<80K),0.074,0.09
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,72300,125,8.18,10.15,55.9,88.0,5,114,CBS,Air Cooled,Single,Silver,2023,Rajasthan,Udaipur,3.9,803,False,Budget (<80K),0.072,0.089
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,67400,125,8.39,10.28,59.8,91.0,5,115,CBS,Air Cooled,Single,Green,2020,Maharashtra,Mumbai,4.5,3077,False,Budget (<80K),0.073,0.089
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,69000,125,8.07,10.14,56.5,87.0,5,115,CBS,Air Cooled,Single,Orange,2023,Maharashtra,Nashik,,5931,False,Budget (<80K),0.07,0.088
Yamaha,Saluto 125,Yamaha Saluto 125,Commuter Bike,Petrol,70000,125,8.2,10.38,59.7,93.0,5,114,CBS,Air Cooled,Single,Blue,2020,Karnataka,Mangaluru,,4581,False,Budget (<80K),0.072,0.091
